FX 76-MP-160
    1.000000     -0.1272680E-13
   0.9919729      0.4250617E-02
   0.9815706      0.8206417E-02
   0.9696011      0.1220063E-01
   0.9560503      0.1663360E-01
   0.9409972      0.2146471E-01
   0.9247116      0.2670880E-01
   0.9075394      0.3225795E-01
   0.8898416      0.3801710E-01
   0.8717992      0.4393633E-01
   0.8535950      0.4993166E-01
   0.8353223      0.5601208E-01
   0.8170110      0.6212472E-01
   0.7987971      0.6822364E-01
   0.7807794      0.7427969E-01
   0.7630543      0.8016958E-01
   0.7456470      0.8583861E-01
   0.7286149      0.9123820E-01
   0.7119305      0.9629611E-01
   0.6954636      0.1010023    
   0.6791186      0.1053830    
   0.6628350      0.1094422    
   0.6465267      0.1131882    
   0.6301342      0.1166575    
   0.6136763      0.1198692    
   0.5971685      0.1228027    
   0.5805596      0.1254523    
   0.5638139      0.1278505    
   0.5469688      0.1300127    
   0.5300400      0.1319164    
   0.5129724      0.1335643    
   0.4957639      0.1350019    
   0.4785181      0.1362415    
   0.4612946      0.1372427    
   0.4440539      0.1379928    
   0.4267980      0.1385213    
   0.4095962      0.1388247    
   0.3924463      0.1388664    
   0.3752950      0.1386563    
   0.3581898      0.1382314    
   0.3412201      0.1375697    
   0.3243611      0.1366287    
   0.3075751      0.1354323    
   0.2909472      0.1340099    
   0.2745404      0.1323156    
   0.2582991      0.1303201    
   0.2422318      0.1280705    
   0.2264527      0.1255744    
   0.2109847      0.1227760    
   0.1957965      0.1196883    
   0.1809765      0.1163635    
   0.1666165      0.1127640    
   0.1526898      0.1088550    
   0.1392151      0.1047032    
   0.1263079      0.1003436    
   0.1140193      0.9575200E-01
   0.1023616      0.9098973E-01
   0.9142460E-01  0.8615792E-01
   0.8129548E-01  0.8128093E-01
   0.7198227E-01  0.7639381E-01
   0.6347918E-01  0.7158842E-01
   0.5579649E-01  0.6691095E-01
   0.4891124E-01  0.6235102E-01
   0.4275240E-01  0.5792529E-01
   0.3724010E-01  0.5368180E-01
   0.3231673E-01  0.4964218E-01
   0.2793906E-01  0.4578845E-01
   0.2405791E-01  0.4209651E-01
   0.2061285E-01  0.3855939E-01
   0.1754367E-01  0.3518043E-01
   0.1480296E-01  0.3195784E-01
   0.1235858E-01  0.2887971E-01
   0.1018740E-01  0.2592923E-01
   0.8268374E-02  0.2309159E-01
   0.6579540E-02  0.2035679E-01
   0.5099894E-02  0.1771796E-01
   0.3813129E-02  0.1516840E-01
   0.2710294E-02  0.1270028E-01
   0.1789378E-02  0.1030495E-01
   0.1053198E-02  0.7975402E-02
   0.5064085E-03  0.5708218E-02
   0.1525954E-03  0.3499665E-02
  -0.4099462E-05  0.1367500E-02
   0.3785766E-04 -0.7296366E-03
   0.3016032E-03 -0.2859040E-02
   0.8156602E-03 -0.5001296E-02
   0.1594581E-02 -0.7131165E-02
   0.2635434E-02 -0.9228664E-02
   0.3925659E-02 -0.1128125E-01
   0.5457765E-02 -0.1327842E-01
   0.7237192E-02 -0.1520297E-01
   0.9276755E-02 -0.1703168E-01
   0.1158350E-01 -0.1874926E-01
   0.1415350E-01 -0.2036255E-01
   0.1698082E-01 -0.2189602E-01
   0.2007049E-01 -0.2336933E-01
   0.2344486E-01 -0.2477891E-01
   0.2714098E-01 -0.2610210E-01
   0.3120269E-01 -0.2732423E-01
   0.3567614E-01 -0.2846274E-01
   0.4061216E-01 -0.2955541E-01
   0.4607213E-01 -0.3061802E-01
   0.5213724E-01 -0.3161888E-01
   0.5891644E-01 -0.3251489E-01
   0.6653809E-01 -0.3331426E-01
   0.7511678E-01 -0.3405308E-01
   0.8474004E-01 -0.3468865E-01
   0.9552230E-01 -0.3512382E-01
   0.1075883     -0.3536185E-01
   0.1209296     -0.3542439E-01
   0.1354974     -0.3523086E-01
   0.1512768     -0.3482131E-01
   0.1680076     -0.3426861E-01
   0.1854889     -0.3350440E-01
   0.2036627     -0.3260703E-01
   0.2222243     -0.3164492E-01
   0.2410580     -0.3055886E-01
   0.2601489     -0.2942022E-01
   0.2793307     -0.2825723E-01
   0.2985902     -0.2701789E-01
   0.3179512     -0.2576748E-01
   0.3373734     -0.2453228E-01
   0.3568095     -0.2326284E-01
   0.3762621     -0.2199727E-01
   0.3957509     -0.2076359E-01
   0.4152439     -0.1951271E-01
   0.4347300     -0.1825624E-01
   0.4542122     -0.1703133E-01
   0.4736788     -0.1579334E-01
   0.4931404     -0.1452533E-01
   0.5125888     -0.1328087E-01
   0.5320168     -0.1204196E-01
   0.5514241     -0.1075273E-01
   0.5708471     -0.9437558E-02
   0.5901754     -0.8117978E-02
   0.6093803     -0.6737689E-02
   0.6285567     -0.5284432E-02
   0.6476786     -0.3787951E-02
   0.6667142     -0.2211879E-02
   0.6857711     -0.5359795E-03
   0.7048551      0.1190543E-02
   0.7238596      0.2955747E-02
   0.7426957      0.4726838E-02
   0.7612230      0.6396976E-02
   0.7794055      0.7918650E-02
   0.7971874      0.9253877E-02
   0.8145927      0.1034261E-01
   0.8316824      0.1117670E-01
   0.8484338      0.1175093E-01
   0.8648413      0.1202914E-01
   0.8809182      0.1200426E-01
   0.8966313      0.1167269E-01
   0.9119434      0.1102980E-01
   0.9267754      0.1009267E-01
   0.9410361      0.8851553E-02
   0.9546569      0.7320837E-02
   0.9675548      0.5520960E-02
   0.9796458      0.3524454E-02
   0.9908443      0.1354841E-02
    1.000000      0.1272680E-13
